cik,date,value,component
1323648,2008-01-01,1,adoption_domestic
1338520,2008-01-01,1,adoption_domestic
1347022,2008-01-01,1,adoption_domestic
1399215,2008-01-01,1,adoption_domestic
1406391,2008-01-01,1,adoption_domestic
4447,2009-01-01,1,adoption_domestic
93410,2009-01-01,1,adoption_domestic
820096,2009-01-01,1,adoption_domestic
899629,2009-01-01,1,adoption_domestic
910832,2009-01-01,1,adoption_domestic
931799,2009-01-01,1,adoption_domestic
1034842,2009-01-01,1,adoption_domestic
1066026,2009-01-01,1,adoption_domestic
1083663,2009-01-01,1,adoption_domestic
1084448,2009-01-01,1,adoption_domestic
1094238,2009-01-01,1,adoption_domestic
1163165,2009-01-01,1,adoption_domestic
1192494,2009-01-01,1,adoption_domestic
1288359,2009-01-01,1,adoption_domestic
1323648,2009-01-01,1,adoption_domestic
1338520,2009-01-01,1,adoption_domestic
1345840,2009-01-01,1,adoption_domestic
1376567,2009-01-01,1,adoption_domestic
1406391,2009-01-01,1,adoption_domestic
93410,2010-01-01,1,adoption_domestic
713676,2010-01-01,1,adoption_domestic
721994,2010-01-01,1,adoption_domestic
765880,2010-01-01,1,adoption_domestic
899629,2010-01-01,1,adoption_domestic
910832,2010-01-01,1,adoption_domestic
931799,2010-01-01,1,adoption_domestic
1034842,2010-01-01,1,adoption_domestic
1066026,2010-01-01,1,adoption_domestic
1083663,2010-01-01,1,adoption_domestic
1084448,2010-01-01,1,adoption_domestic
1192494,2010-01-01,1,adoption_domestic
1288359,2010-01-01,1,adoption_domestic
1323648,2010-01-01,1,adoption_domestic
1332174,2010-01-01,1,adoption_domestic
1345840,2010-01-01,1,adoption_domestic
1346616,2010-01-01,1,adoption_domestic
1364742,2010-01-01,1,adoption_domestic
1376567,2010-01-01,1,adoption_domestic
1428205,2010-01-01,1,adoption_domestic
93410,2011-01-01,1,adoption_domestic
713676,2011-01-01,1,adoption_domestic
899629,2011-01-01,1,adoption_domestic
910832,2011-01-01,1,adoption_domestic
931799,2011-01-01,1,adoption_domestic
1034842,2011-01-01,1,adoption_domestic
1066026,2011-01-01,1,adoption_domestic
1083663,2011-01-01,1,adoption_domestic
1163165,2011-01-01,1,adoption_domestic
1182129,2011-01-01,1,adoption_domestic
1288359,2011-01-01,1,adoption_domestic
1323648,2011-01-01,1,adoption_domestic
1332174,2011-01-01,1,adoption_domestic
1335732,2011-01-01,1,adoption_domestic
1345840,2011-01-01,1,adoption_domestic
1346616,2011-01-01,1,adoption_domestic
1364742,2011-01-01,1,adoption_domestic
1376567,2011-01-01,1,adoption_domestic
1428205,2011-01-01,1,adoption_domestic
93410,2012-01-01,1,adoption_domestic
356213,2012-01-01,1,adoption_domestic
713676,2012-01-01,1,adoption_domestic
899629,2012-01-01,1,adoption_domestic
910832,2012-01-01,1,adoption_domestic
1034842,2012-01-01,1,adoption_domestic
1066026,2012-01-01,1,adoption_domestic
1163165,2012-01-01,1,adoption_domestic
1288359,2012-01-01,1,adoption_domestic
1323648,2012-01-01,1,adoption_domestic
1332174,2012-01-01,1,adoption_domestic
1335732,2012-01-01,1,adoption_domestic
1346616,2012-01-01,1,adoption_domestic
1364742,2012-01-01,1,adoption_domestic
4447,2013-01-01,1,adoption_domestic
93410,2013-01-01,1,adoption_domestic
101390,2013-01-01,1,adoption_domestic
713676,2013-01-01,1,adoption_domestic
783005,2013-01-01,1,adoption_domestic
870398,2013-01-01,1,adoption_domestic
875622,2013-01-01,1,adoption_domestic
899629,2013-01-01,1,adoption_domestic
1034842,2013-01-01,1,adoption_domestic
1163165,2013-01-01,1,adoption_domestic
1288359,2013-01-01,1,adoption_domestic
1323648,2013-01-01,1,adoption_domestic
1332174,2013-01-01,1,adoption_domestic
1335732,2013-01-01,1,adoption_domestic
1346616,2013-01-01,1,adoption_domestic
1364742,2013-01-01,1,adoption_domestic
1532961,2013-01-01,1,adoption_domestic
1961,2014-01-01,1,adoption_domestic
4447,2014-01-01,1,adoption_domestic
93410,2014-01-01,1,adoption_domestic
101390,2014-01-01,1,adoption_domestic
713676,2014-01-01,1,adoption_domestic
719739,2014-01-01,1,adoption_domestic
860518,2014-01-01,1,adoption_domestic
899629,2014-01-01,1,adoption_domestic
1022899,2014-01-01,1,adoption_domestic
1034842,2014-01-01,1,adoption_domestic
1065088,2014-01-01,1,adoption_domestic
1083712,2014-01-01,1,adoption_domestic
1086745,2014-01-01,1,adoption_domestic
1096555,2014-01-01,1,adoption_domestic
1130713,2014-01-01,1,adoption_domestic
1163165,2014-01-01,1,adoption_domestic
1273988,2014-01-01,1,adoption_domestic
1277856,2014-01-01,1,adoption_domestic
1288359,2014-01-01,1,adoption_domestic
1323648,2014-01-01,1,adoption_domestic
1329136,2014-01-01,1,adoption_domestic
1332174,2014-01-01,1,adoption_domestic
1335732,2014-01-01,1,adoption_domestic
1364742,2014-01-01,1,adoption_domestic
1380393,2014-01-01,1,adoption_domestic
1410428,2014-01-01,1,adoption_domestic
1436229,2014-01-01,1,adoption_domestic
1437925,2014-01-01,1,adoption_domestic
1456857,2014-01-01,1,adoption_domestic
1504464,2014-01-01,1,adoption_domestic
1522767,2014-01-01,1,adoption_domestic
1527531,2014-01-01,1,adoption_domestic
1528503,2014-01-01,1,adoption_domestic
1529658,2014-01-01,1,adoption_domestic
1530219,2014-01-01,1,adoption_domestic
1532826,2014-01-01,1,adoption_domestic
1532961,2014-01-01,1,adoption_domestic
1535456,2014-01-01,1,adoption_domestic
