cik,date,value,component
907471,2010-01-01,1,adoption_domestic
917520,2010-01-01,1,adoption_domestic
1005010,2010-01-01,1,adoption_domestic
1040765,2010-01-01,1,adoption_domestic
1040896,2010-01-01,1,adoption_domestic
1121484,2010-01-01,1,adoption_domestic
1171012,2010-01-01,1,adoption_domestic
1272830,2010-01-01,1,adoption_domestic
1375793,2010-01-01,1,adoption_domestic
59440,2011-01-01,1,adoption_domestic
77449,2011-01-01,1,adoption_domestic
82166,2011-01-01,1,adoption_domestic
104169,2011-01-01,1,adoption_domestic
863157,2011-01-01,1,adoption_domestic
864683,2011-01-01,1,adoption_domestic
874501,2011-01-01,1,adoption_domestic
884629,2011-01-01,1,adoption_domestic
899689,2011-01-01,1,adoption_domestic
907471,2011-01-01,1,adoption_domestic
915324,2011-01-01,1,adoption_domestic
917520,2011-01-01,1,adoption_domestic
1040765,2011-01-01,1,adoption_domestic
1040896,2011-01-01,1,adoption_domestic
1121484,2011-01-01,1,adoption_domestic
1171012,2011-01-01,1,adoption_domestic
1272830,2011-01-01,1,adoption_domestic
1366649,2011-01-01,1,adoption_domestic
1375793,2011-01-01,1,adoption_domestic
1427925,2011-01-01,1,adoption_domestic
59440,2012-01-01,1,adoption_domestic
104169,2012-01-01,1,adoption_domestic
354655,2012-01-01,1,adoption_domestic
859598,2012-01-01,1,adoption_domestic
864683,2012-01-01,1,adoption_domestic
874501,2012-01-01,1,adoption_domestic
879585,2012-01-01,1,adoption_domestic
884629,2012-01-01,1,adoption_domestic
915324,2012-01-01,1,adoption_domestic
919742,2012-01-01,1,adoption_domestic
921547,2012-01-01,1,adoption_domestic
1040896,2012-01-01,1,adoption_domestic
1115222,2012-01-01,1,adoption_domestic
1121484,2012-01-01,1,adoption_domestic
1171012,2012-01-01,1,adoption_domestic
1261694,2012-01-01,1,adoption_domestic
1274644,2012-01-01,1,adoption_domestic
1277856,2012-01-01,1,adoption_domestic
1366649,2012-01-01,1,adoption_domestic
1375793,2012-01-01,1,adoption_domestic
1427925,2012-01-01,1,adoption_domestic
104169,2013-01-01,1,adoption_domestic
354655,2013-01-01,1,adoption_domestic
711665,2013-01-01,1,adoption_domestic
792987,2013-01-01,1,adoption_domestic
859598,2013-01-01,1,adoption_domestic
864683,2013-01-01,1,adoption_domestic
874501,2013-01-01,1,adoption_domestic
875622,2013-01-01,1,adoption_domestic
879585,2013-01-01,1,adoption_domestic
884629,2013-01-01,1,adoption_domestic
919742,2013-01-01,1,adoption_domestic
1040896,2013-01-01,1,adoption_domestic
1115222,2013-01-01,1,adoption_domestic
1121484,2013-01-01,1,adoption_domestic
1135152,2013-01-01,1,adoption_domestic
1171012,2013-01-01,1,adoption_domestic
1261694,2013-01-01,1,adoption_domestic
1274644,2013-01-01,1,adoption_domestic
1375793,2013-01-01,1,adoption_domestic
1401257,2013-01-01,1,adoption_domestic
1427925,2013-01-01,1,adoption_domestic
1456189,2013-01-01,1,adoption_domestic
1476170,2013-01-01,1,adoption_domestic
1516887,2013-01-01,1,adoption_domestic
104169,2014-01-01,1,adoption_domestic
354655,2014-01-01,1,adoption_domestic
859598,2014-01-01,1,adoption_domestic
864683,2014-01-01,1,adoption_domestic
875622,2014-01-01,1,adoption_domestic
919742,2014-01-01,1,adoption_domestic
1040896,2014-01-01,1,adoption_domestic
1115222,2014-01-01,1,adoption_domestic
1120370,2014-01-01,1,adoption_domestic
1121484,2014-01-01,1,adoption_domestic
1135152,2014-01-01,1,adoption_domestic
1171012,2014-01-01,1,adoption_domestic
1324424,2014-01-01,1,adoption_domestic
1427925,2014-01-01,1,adoption_domestic
1438133,2014-01-01,1,adoption_domestic
1456189,2014-01-01,1,adoption_domestic
1516887,2014-01-01,1,adoption_domestic
1575574,2014-01-01,1,adoption_domestic
1578845,2014-01-01,1,adoption_domestic
8868,2015-01-01,1,adoption_domestic
104169,2015-01-01,1,adoption_domestic
763901,2015-01-01,1,adoption_domestic
859598,2015-01-01,1,adoption_domestic
864683,2015-01-01,1,adoption_domestic
875622,2015-01-01,1,adoption_domestic
1040896,2015-01-01,1,adoption_domestic
1077370,2015-01-01,1,adoption_domestic
1108109,2015-01-01,1,adoption_domestic
1120370,2015-01-01,1,adoption_domestic
1121484,2015-01-01,1,adoption_domestic
1135152,2015-01-01,1,adoption_domestic
1171012,2015-01-01,1,adoption_domestic
1178727,2015-01-01,1,adoption_domestic
1324424,2015-01-01,1,adoption_domestic
1336545,2015-01-01,1,adoption_domestic
1427925,2015-01-01,1,adoption_domestic
1438133,2015-01-01,1,adoption_domestic
1456189,2015-01-01,1,adoption_domestic
1498372,2015-01-01,1,adoption_domestic
1516887,2015-01-01,1,adoption_domestic
1578845,2015-01-01,1,adoption_domestic
1620602,2015-01-01,1,adoption_domestic
8868,2016-01-01,1,adoption_domestic
104169,2016-01-01,1,adoption_domestic
763901,2016-01-01,1,adoption_domestic
859598,2016-01-01,1,adoption_domestic
875622,2016-01-01,1,adoption_domestic
1012569,2016-01-01,1,adoption_domestic
1037131,2016-01-01,1,adoption_domestic
1040896,2016-01-01,1,adoption_domestic
1045942,2016-01-01,1,adoption_domestic
1077370,2016-01-01,1,adoption_domestic
1121484,2016-01-01,1,adoption_domestic
1135152,2016-01-01,1,adoption_domestic
1178727,2016-01-01,1,adoption_domestic
1276187,2016-01-01,1,adoption_domestic
1324424,2016-01-01,1,adoption_domestic
1427925,2016-01-01,1,adoption_domestic
1438133,2016-01-01,1,adoption_domestic
1449732,2016-01-01,1,adoption_domestic
1456189,2016-01-01,1,adoption_domestic
1516887,2016-01-01,1,adoption_domestic
5981,2017-01-01,1,adoption_domestic
8868,2017-01-01,1,adoption_domestic
104169,2017-01-01,1,adoption_domestic
763901,2017-01-01,1,adoption_domestic
837010,2017-01-01,1,adoption_domestic
859598,2017-01-01,1,adoption_domestic
875622,2017-01-01,1,adoption_domestic
1040896,2017-01-01,1,adoption_domestic
1045942,2017-01-01,1,adoption_domestic
1077370,2017-01-01,1,adoption_domestic
1121484,2017-01-01,1,adoption_domestic
1161706,2017-01-01,1,adoption_domestic
1178727,2017-01-01,1,adoption_domestic
1324424,2017-01-01,1,adoption_domestic
1427925,2017-01-01,1,adoption_domestic
1449732,2017-01-01,1,adoption_domestic
1456189,2017-01-01,1,adoption_domestic
1516887,2017-01-01,1,adoption_domestic
1535929,2017-01-01,1,adoption_domestic
1704795,2017-01-01,1,adoption_domestic
5981,2018-01-01,1,adoption_domestic
6955,2018-01-01,1,adoption_domestic
8868,2018-01-01,1,adoption_domestic
104169,2018-01-01,1,adoption_domestic
837010,2018-01-01,1,adoption_domestic
875622,2018-01-01,1,adoption_domestic
1040896,2018-01-01,1,adoption_domestic
1045942,2018-01-01,1,adoption_domestic
1048911,2018-01-01,1,adoption_domestic
1121484,2018-01-01,1,adoption_domestic
1178727,2018-01-01,1,adoption_domestic
1324424,2018-01-01,1,adoption_domestic
1397403,2018-01-01,1,adoption_domestic
1427925,2018-01-01,1,adoption_domestic
1449732,2018-01-01,1,adoption_domestic
1516887,2018-01-01,1,adoption_domestic
1520118,2018-01-01,1,adoption_domestic
1535929,2018-01-01,1,adoption_domestic
1681459,2018-01-01,1,adoption_domestic
1690334,2018-01-01,1,adoption_domestic
1702924,2018-01-01,1,adoption_domestic
1704795,2018-01-01,1,adoption_domestic
5981,2019-01-01,1,adoption_domestic
8868,2019-01-01,1,adoption_domestic
38777,2019-01-01,1,adoption_domestic
104169,2019-01-01,1,adoption_domestic
763901,2019-01-01,1,adoption_domestic
837010,2019-01-01,1,adoption_domestic
842013,2019-01-01,1,adoption_domestic
875622,2019-01-01,1,adoption_domestic
896622,2019-01-01,1,adoption_domestic
903651,2019-01-01,1,adoption_domestic
1014111,2019-01-01,1,adoption_domestic
1040896,2019-01-01,1,adoption_domestic
1082324,2019-01-01,1,adoption_domestic
1121484,2019-01-01,1,adoption_domestic
1178727,2019-01-01,1,adoption_domestic
1349436,2019-01-01,1,adoption_domestic
1403161,2019-01-01,1,adoption_domestic
1427925,2019-01-01,1,adoption_domestic
1515139,2019-01-01,1,adoption_domestic
1516887,2019-01-01,1,adoption_domestic
1520118,2019-01-01,1,adoption_domestic
1527531,2019-01-01,1,adoption_domestic
1528503,2019-01-01,1,adoption_domestic
1530219,2019-01-01,1,adoption_domestic
1532826,2019-01-01,1,adoption_domestic
1535929,2019-01-01,1,adoption_domestic
1542830,2019-01-01,1,adoption_domestic
1545018,2019-01-01,1,adoption_domestic
1548266,2019-01-01,1,adoption_domestic
1548599,2019-01-01,1,adoption_domestic
1550120,2019-01-01,1,adoption_domestic
1550221,2019-01-01,1,adoption_domestic
1552328,2019-01-01,1,adoption_domestic
1553817,2019-01-01,1,adoption_domestic
1554776,2019-01-01,1,adoption_domestic
1556601,2019-01-01,1,adoption_domestic
1556811,2019-01-01,1,adoption_domestic
1557805,2019-01-01,1,adoption_domestic
1558013,2019-01-01,1,adoption_domestic
1558546,2019-01-01,1,adoption_domestic
1559450,2019-01-01,1,adoption_domestic
1560456,2019-01-01,1,adoption_domestic
1561726,2019-01-01,1,adoption_domestic
1561727,2019-01-01,1,adoption_domestic
1566053,2019-01-01,1,adoption_domestic
1566543,2019-01-01,1,adoption_domestic
1567572,2019-01-01,1,adoption_domestic
1569414,2019-01-01,1,adoption_domestic
1572493,2019-01-01,1,adoption_domestic
1573946,2019-01-01,1,adoption_domestic
1575190,2019-01-01,1,adoption_domestic
1576047,2019-01-01,1,adoption_domestic
1578422,2019-01-01,1,adoption_domestic
1578423,2019-01-01,1,adoption_domestic
1580013,2019-01-01,1,adoption_domestic
1580891,2019-01-01,1,adoption_domestic
1581653,2019-01-01,1,adoption_domestic
1582037,2019-01-01,1,adoption_domestic
1585067,2019-01-01,1,adoption_domestic
1585673,2019-01-01,1,adoption_domestic
1587234,2019-01-01,1,adoption_domestic
1587497,2019-01-01,1,adoption_domestic
1587980,2019-01-01,1,adoption_domestic
1587981,2019-01-01,1,adoption_domestic
1588251,2019-01-01,1,adoption_domestic
1589802,2019-01-01,1,adoption_domestic
1589803,2019-01-01,1,adoption_domestic
1590058,2019-01-01,1,adoption_domestic
1590231,2019-01-01,1,adoption_domestic
1590757,2019-01-01,1,adoption_domestic
1593269,2019-01-01,1,adoption_domestic
1594136,2019-01-01,1,adoption_domestic
1595710,2019-01-01,1,adoption_domestic
