cik,date,value,component
1170010,2011-01-01,1,adoption_domestic
1178670,2011-01-01,1,adoption_domestic
1316898,2011-01-01,1,adoption_domestic
1323274,2011-01-01,1,adoption_domestic
1348952,2011-01-01,1,adoption_domestic
1410428,2011-01-01,1,adoption_domestic
1427437,2011-01-01,1,adoption_domestic
1431824,2011-01-01,1,adoption_domestic
1477294,2011-01-01,1,adoption_domestic
1501017,2011-01-01,1,adoption_domestic
19745,2012-01-01,1,adoption_domestic
700564,2012-01-01,1,adoption_domestic
749647,2012-01-01,1,adoption_domestic
861361,2012-01-01,1,adoption_domestic
878375,2012-01-01,1,adoption_domestic
896156,2012-01-01,1,adoption_domestic
1001614,2012-01-01,1,adoption_domestic
1049502,2012-01-01,1,adoption_domestic
1065837,2012-01-01,1,adoption_domestic
1071411,2012-01-01,1,adoption_domestic
1131907,2012-01-01,1,adoption_domestic
1170010,2012-01-01,1,adoption_domestic
1178670,2012-01-01,1,adoption_domestic
1316898,2012-01-01,1,adoption_domestic
1365916,2012-01-01,1,adoption_domestic
1428522,2012-01-01,1,adoption_domestic
1439813,2012-01-01,1,adoption_domestic
1477294,2012-01-01,1,adoption_domestic
1494904,2012-01-01,1,adoption_domestic
1501017,2012-01-01,1,adoption_domestic
19745,2013-01-01,1,adoption_domestic
700564,2013-01-01,1,adoption_domestic
749647,2013-01-01,1,adoption_domestic
887733,2013-01-01,1,adoption_domestic
896156,2013-01-01,1,adoption_domestic
932699,2013-01-01,1,adoption_domestic
1049502,2013-01-01,1,adoption_domestic
1116112,2013-01-01,1,adoption_domestic
1170010,2013-01-01,1,adoption_domestic
1178670,2013-01-01,1,adoption_domestic
1388410,2013-01-01,1,adoption_domestic
1428522,2013-01-01,1,adoption_domestic
1439813,2013-01-01,1,adoption_domestic
1494904,2013-01-01,1,adoption_domestic
3197,2014-01-01,1,adoption_domestic
19745,2014-01-01,1,adoption_domestic
830656,2014-01-01,1,adoption_domestic
862022,2014-01-01,1,adoption_domestic
887733,2014-01-01,1,adoption_domestic
896156,2014-01-01,1,adoption_domestic
1060409,2014-01-01,1,adoption_domestic
1178670,2014-01-01,1,adoption_domestic
1262279,2014-01-01,1,adoption_domestic
1309402,2014-01-01,1,adoption_domestic
1321646,2014-01-01,1,adoption_domestic
1325955,2014-01-01,1,adoption_domestic
1337885,2014-01-01,1,adoption_domestic
1388410,2014-01-01,1,adoption_domestic
1400431,2014-01-01,1,adoption_domestic
1428522,2014-01-01,1,adoption_domestic
1439813,2014-01-01,1,adoption_domestic
1494904,2014-01-01,1,adoption_domestic
3197,2015-01-01,1,adoption_domestic
19745,2015-01-01,1,adoption_domestic
20520,2015-01-01,1,adoption_domestic
830656,2015-01-01,1,adoption_domestic
862022,2015-01-01,1,adoption_domestic
881787,2015-01-01,1,adoption_domestic
896156,2015-01-01,1,adoption_domestic
911147,2015-01-01,1,adoption_domestic
1060409,2015-01-01,1,adoption_domestic
1178670,2015-01-01,1,adoption_domestic
1262279,2015-01-01,1,adoption_domestic
1388410,2015-01-01,1,adoption_domestic
1428522,2015-01-01,1,adoption_domestic
1436229,2015-01-01,1,adoption_domestic
3197,2016-01-01,1,adoption_domestic
19745,2016-01-01,1,adoption_domestic
830656,2016-01-01,1,adoption_domestic
862022,2016-01-01,1,adoption_domestic
881787,2016-01-01,1,adoption_domestic
896156,2016-01-01,1,adoption_domestic
906780,2016-01-01,1,adoption_domestic
1060409,2016-01-01,1,adoption_domestic
1164964,2016-01-01,1,adoption_domestic
1178670,2016-01-01,1,adoption_domestic
1335982,2016-01-01,1,adoption_domestic
1436229,2016-01-01,1,adoption_domestic
1505512,2016-01-01,1,adoption_domestic
1562107,2016-01-01,1,adoption_domestic
1630805,2016-01-01,1,adoption_domestic
3197,2017-01-01,1,adoption_domestic
19745,2017-01-01,1,adoption_domestic
75488,2017-01-01,1,adoption_domestic
830656,2017-01-01,1,adoption_domestic
862022,2017-01-01,1,adoption_domestic
881787,2017-01-01,1,adoption_domestic
896156,2017-01-01,1,adoption_domestic
1004980,2017-01-01,1,adoption_domestic
1060409,2017-01-01,1,adoption_domestic
1164964,2017-01-01,1,adoption_domestic
1178670,2017-01-01,1,adoption_domestic
